DateTime,000016.SH,600000.SH
2018/1/17,3076.1819,13.1
2018/1/18,3106.5516,13.24
2018/1/19,3117.8212,13.24
2018/1/22,3130.3299,12.77
2018/1/23,3176.5042,12.9
2018/1/24,3180.3318,13.57
2018/1/25,3157.4592,13.65
2018/1/26,3172.7776,13.41
2018/1/29,3120.6951,13.46
2018/1/30,3079.1178,13.11
2018/1/31,3116.8331,13.17
2018/2/1,3141.23,13.3
2018/2/2,3149.6414,13.14
2018/2/5,3181.3393,13.49
2018/2/6,3117.4905,13.48
2018/2/7,3029.6011,13.45
2018/2/8,2945.8438,13.1
2018/2/9,2810.0273,12.78
2018/2/12,2805.211,12.49
2018/2/13,2852.7169,12.51
2018/2/14,2871.7873,12.46
2018/2/22,2931.8815,12.63
2018/2/23,2957.171,12.72
2018/2/26,2973.7855,12.73
2018/2/27,2927.0968,12.69
2018/2/28,2878.6666,12.46
2018/3/1,2891.2982,12.47
2018/3/2,2864.1834,12.41
2018/3/5,2863.9909,12.42
2018/3/6,2892.4752,12.49
2018/3/7,2878.1506,12.49
2018/3/8,2898.2542,12.47
2018/3/9,2908.1974,12.48
2018/3/12,2909.5793,12.5
2018/3/13,2883.3771,12.49
2018/3/14,2871.334,12.39
2018/3/15,2894.9828,12.39
2018/3/16,2870.7318,12.3
2018/3/19,2897.2558,12.31
2018/3/20,2904.3972,12.32
